State,Democrat,Republican,State Code,Percent Democrat,Percent Republican,Electoral Votes,Winner
Alabama,843473,1434159,AL,37.03289206,62.96710794,9,Trump
Alaska,45758,80999,AK,36.09899256,63.90100744,3,Trump
Arizona,1643664,1626679,AZ,50.25968224,49.74031776,11,Biden
Arkansas,420985,761251,AR,35.60921846,64.39078154,6,Trump
California,9315259,4812735,CA,65.93476045,34.06523955,55,Biden
Colorado,1753416,1335253,CO,56.76930743,43.23069257,9,Biden
Connecticut,1059252,699079,CT,60.24189985,39.75810015,7,Biden
Delaware,295413,199857,DE,59.64685929,40.35314071,3,Biden
District of Columbia,258561,14449,DC,94.70751987,5.292480129,3,Biden
Florida,5294767,5667834,FL,48.29845581,51.70154419,29,Trump
Georgia,2465783,2455431,GA,50.1051773,49.8948227,16,Biden
Hawaii,365802,196602,HI,65.04256726,34.95743274,4,Biden
Idaho,286991,554019,ID,34.12456451,65.87543549,4,Trump
Illinois,3675573,2669999,IL,57.9234307,42.0765693,20,Biden
Indiana,1239529,1727085,IN,41.78261816,58.21738184,11,Trump
Iowa,757700,896102,IA,45.81564178,54.18435822,6,Trump
Kansas,551199,753370,KS,42.25142557,57.74857443,6,Trump
Kentucky,778214,1343148,KY,36.6846394,63.3153606,8,Trump
Louisiana,855630,1255528,LA,40.52894194,59.47105806,8,Trump
Maine,419309,340512,ME,55.18523442,44.81476558,4,Biden
Maryland,1590324,861861,MD,64.85334508,35.14665492,10,Biden
Massachusetts,2254168,1121176,MA,66.78335601,33.21664399,11,Biden
Michigan,2794853,2646956,MI,51.35889554,48.64110446,16,Biden
Minnesota,1717991,1485677,MN,53.62575023,46.37424977,10,Biden
Mississippi,447162,683527,MS,39.54774478,60.45225522,6,Trump
Missouri,1242851,1711848,MO,42.06354014,57.93645986,10,Trump
Montana,243714,341763,MT,41.62657115,58.37342885,3,Trump
Nebraska,367931,550232,NE,40.07251436,59.92748564,5,Trump
Nevada,664162,629879,NV,51.32464891,48.67535109,6,Biden
New Hampshire,422284,365248,NH,53.62118619,46.37881381,4,Biden
New Jersey,2108110,1449928,NJ,59.24922668,40.75077332,14,Biden
New Mexico,498022,400920,NM,55.40090462,44.59909538,5,Biden
New York,3699332,2850352,NY,56.48107603,43.51892397,29,Biden
North Carolina,2658280,2733687,NC,49.30074683,50.69925317,15,Trump
North Dakota,114687,234962,ND,32.80060861,67.19939139,3,Trump
Ohio,2611377,3071959,OH,45.94796085,54.05203915,18,Trump
Oklahoma,503890,1020280,OK,33.0599605,66.9400395,7,Trump
Oregon,1318475,942737,OR,58.30833199,41.69166801,7,Biden
Pennsylvania,3361668,3315998,PA,50.3419608,49.6580392,20,Biden
Rhode Island,300325,197421,RI,60.33699919,39.66300081,4,Biden
South Carolina,1092518,1386207,SC,44.0758051,55.9241949,9,Trump
South Dakota,150475,261108,SD,36.560062,63.439938,3,Trump
Tennessee,1139364,1849791,TN,38.11659148,61.88340852,11,Trump
Texas,5216321,5872348,TX,47.04190377,52.95809623,38,Trump
Utah,489465,759583,UT,39.18704485,60.81295515,6,Trump
Vermont,227231,111131,VT,67.15618184,32.84381816,3,Biden
Virginia,2392751,1961783,VA,54.94849736,45.05150264,13,Biden
Washington,2303430,1514563,WA,60.33091208,39.66908792,12,Biden
West Virginia,232502,539610,WV,30.11247073,69.88752927,5,Trump
Wisconsin,1630569,1610030,WI,50.31690129,49.68309871,10,Biden
Wyoming,73445,193454,WY,27.51790003,72.48209997,3,Trump
